state,Obama,ObamaProb,ev,sd,lo,hi,nequiv
Alabama,38.7448295299,0.52,9,4.3079664004,30.240628535,46.889720449,127.882728104
Arizona,46.1053250923,0.5,11,1.5417236572,42.9872022278,48.9285706797,1045.4033131179
Arkansas,36.4259862035,0,6,2.277446524,32.11049444,40.9853530075,446.472356076
California,58.6198789285,100,55,1.4792986616,55.8901870869,61.5646105874,1108.4725569102
Colorado,50.9875850437,76.52,9,1.3089661254,48.5976172034,53.6000903842,1458.5245014937
Connecticut,56.8074353757,100,7,1.4823649332,53.8935447464,59.7223693687,1116.6161611218
DC,91.6368868987,100,3,1.8537821346,87.9114237321,95.1825456146,223.0082409919
Florida,50.0695925302,52.16,29,1.2671794301,47.5427061561,52.442228577,1556.9079574321
Georgia,45.5462856816,0.14,16,1.5161186589,42.5321059197,48.4529934948,1078.9817254003
Hawaii,64.9623881429,100,4,2.2260462683,60.4451309331,69.1979684173,459.3334841908
Idaho,32.0325263737,0,4,2.4690594783,27.3335832613,36.8766781761,357.1323699531
Illinois,59.6019672294,100,20,1.5227801196,56.7068636855,62.6647062157,1038.3563302101
Indiana,44.7605650864,0,11,1.4842070974,41.870771031,47.5695783372,1122.4209903957
Iowa,51.3614996042,83.76,6,1.3388714635,48.7482720294,53.9151493054,1393.6063015828
Kentucky,40.8717982437,0.04,8,2.8283340135,35.2840620583,46.3458922956,302.1043816907
Louisiana,38.8559025575,0,8,2.2560346224,34.1886370371,43.0086521185,466.7883617706
Maine,56.0424506801,100,4,1.4995945679,52.9062612,58.709572865,1095.4760146559
Maryland,61.042166382,100,10,1.6535223303,57.7964342426,64.2418025185,869.7703689558
Massachusetts,59.6909860849,100,11,1.368760295,57.1788662175,62.4529482394,1284.2693860076
Michigan,53.5789226051,99.88,16,1.3038406845,51.2176051298,56.2574398688,1463.0532569776
Minnesota,53.9786493743,99.92,10,1.4108765757,51.2979674418,56.6529367348,1247.967649852
Missouri,45.2503837741,0.04,10,1.4401010373,42.4356495867,48.0102569355,1194.5859973027
Montana,45.9738516766,0.32,3,1.5180062383,43.034738819,48.9509239069,1077.8734740661
Nebraska,42.7700007543,0,5,1.5937736615,39.7518934973,45.9040943778,963.6286577919
Nevada,51.923836762,91.2,6,1.4331061828,49.3151807744,54.8101151338,1215.45766758
New Hampshire,51.2941670894,83.24,4,1.3023479855,48.8592371416,53.8310134649,1472.973289473
New Jersey,56.0499193782,99.98,14,1.5688305466,53.0625747705,59.0970567751,1000.8813448367
New Mexico,54.3745860581,99.68,5,1.6348197234,51.1936368773,57.4590738666,928.2459096389
New York,62.6907889531,100,29,1.5282476545,59.7508910634,65.6627762723,1001.4570425056
North Carolina,49.2000872822,28.12,15,1.3412271093,46.5782996161,51.7202566129,1389.390079037
North Dakota,43.0109931282,0,3,1.7095997702,39.651676957,46.2561854635,838.6517504149
Ohio,51.8511945648,92.98,18,1.2502591941,49.4051659403,54.1900698996,1597.144349148
Oklahoma,34.5388705373,0,7,2.8603342506,29.0043289921,40.1715737663,276.3490988956
Oregon,53.1145351712,97.26,7,1.6356861048,49.9100202837,56.2244061431,930.7899435349
Pennsylvania,53.0811650785,99.1,20,1.3327483079,50.3514574688,55.5102114775,1402.1400235853
Rhode Island,62.7762181121,100,4,2.3452627557,58.2837398073,67.3995860734,424.8470723406
South Carolina,44.8418234273,12.9,9,4.5783857902,35.743998435,53.6312947152,117.9963015292
South Dakota,44.8880560752,0.68,3,2.1242459784,40.7163736088,48.8918273849,548.2352027939
Tennessee,44.0309060141,0.04,11,1.818822666,40.4358818046,47.5035104021,744.9466701521
Texas,40.8310469882,0,38,1.5808982154,37.7557634605,43.8881301405,966.666308711
USA,50.8632492613,74.52,NA,1.2026360442,48.6195805716,53.222598918,1727.9934943259
Utah,26.9140686069,0,6,1.9140408013,23.2190719317,30.5221244805,536.9214549883
Vermont,68.7801317208,100,3,3.4716112024,61.7308612038,75.3734827876,178.1689035561
Virginia,51.0419846651,78.4,13,1.2851677878,48.6669056606,53.5874769919,1512.9747966234
Washington,56.5003466838,100,12,1.4753691899,53.5527521815,59.3077344586,1129.1080108425
West Virginia,41.4650222722,0.54,5,3.3751566092,35.0508235991,48.3518385749,213.0637184226
Wisconsin,52.4608699946,96.98,10,1.3452057708,49.8332015674,54.9647243395,1378.1905720927
